timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,Connect
1676067244745,698,/horoscope-dates/,404,Not Found,Tarot Index Pages - Thread Group 1-18,text,false,Test failed: code expected not to contain /404/,19,19,https://dev.horoscope.com/horoscope-dates/,172,0
1676067244468,1000,/us/tarot/tarot-monthly.aspx,200,OK,Tarot Index Pages - Thread Group 1-9,text,true,,19,19,https://dev.horoscope.com/us/tarot/tarot-monthly.aspx,154,0
1676067244268,1230,/us/tarot/tarot-erotic.aspx,200,OK,Tarot Index Pages - Thread Group 1-6,text,true,,19,19,https://dev.horoscope.com/us/tarot/tarot-erotic.aspx,164,0
1676067244719,920,/us/tarot/tarot-true-love.aspx,200,OK,Tarot Index Pages - Thread Group 1-10,text,true,,19,19,https://dev.horoscope.com/us/tarot/tarot-true-love.aspx,161,0
1676067244619,1100,/articles,200,OK,Tarot Index Pages - Thread Group 1-1,text,true,,20,20,https://dev.horoscope.com/articles,158,1
1676067244845,923,/zodiac-signs/libra,200,OK,Tarot Index Pages - Thread Group 1-3,text,true,,20,20,https://dev.horoscope.com/zodiac-signs/libra,172,0
1676067244718,1106,/us/tarot/tarot-former-flame.aspx,200,OK,Tarot Index Pages - Thread Group 1-4,text,true,,20,20,https://dev.horoscope.com/us/tarot/tarot-former-flame.aspx,157,1
1676067245020,913,/love/compatibility,200,OK,Tarot Index Pages - Thread Group 1-15,text,true,,20,20,https://dev.horoscope.com/love/compatibility,154,0
1676067245029,1019,/us/games/compatibility/game-friendship-compatibility.aspx,200,OK,Tarot Index Pages - Thread Group 1-16,text,true,,20,20,https://dev.horoscope.com/us/games/compatibility/game-friendship-compatibility.aspx,159,0
1676067244820,1230,/us/games/divination/game-fortune-cookie.aspx,200,OK,Tarot Index Pages - Thread Group 1-7,text,true,,20,20,https://dev.horoscope.com/us/games/divination/game-fortune-cookie.aspx,170,1
1676067245468,699,/saturn-return/,404,Not Found,Tarot Index Pages - Thread Group 1-9,text,false,Test failed: code expected not to contain /404/,20,20,https://dev.horoscope.com/saturn-return/,159,1
1676067245225,943,/us/tarot/tarot-egyptian.aspx,200,OK,Tarot Index Pages - Thread Group 1-19,text,true,,20,20,https://dev.horoscope.com/us/tarot/tarot-egyptian.aspx,160,0
1676067245048,1125,/zodiac-signs,200,OK,Tarot Index Pages - Thread Group 1-5,text,true,,20,20,https://dev.horoscope.com/zodiac-signs,152,0
1676067245131,1068,/us/horoscopes/money/index-horoscope-money-weekly.aspx,200,OK,Tarot Index Pages - Thread Group 1-17,text,true,,21,21,https://dev.horoscope.com/us/horoscopes/money/index-horoscope-money-weekly.aspx,157,1
1676067245269,949,/us/tarot/tarot-daily-flirt.aspx,200,OK,Tarot Index Pages - Thread Group 1-14,text,true,,21,21,https://dev.horoscope.com/us/tarot/tarot-daily-flirt.aspx,156,1
1676067245320,1001,/us/horoscopes/general/index-retail-therapy-horoscope.aspx,200,OK,Tarot Index Pages - Thread Group 1-8,text,true,,21,21,https://dev.horoscope.com/us/horoscopes/general/index-retail-therapy-horoscope.aspx,168,0
1676067245383,947,/us/tarot/tarot-daily-love.aspx,200,OK,Tarot Index Pages - Thread Group 1-12,text,true,,21,21,https://dev.horoscope.com/us/tarot/tarot-daily-love.aspx,152,1
1676067245769,570,/images-US/tarot/back/lovers-triangle-you.png,200,OK,Tarot Index Pages - Thread Group 1-3,bin,true,,21,21,https://dev.horoscope.com/images-US/tarot/back/lovers-triangle-you.png,159,0
1676067245140,1228,/zodiac-signs/scorpio,200,OK,Tarot Index Pages - Thread Group 1-11,text,true,,21,21,https://dev.horoscope.com/zodiac-signs/scorpio,153,1
1676067245320,1061,/us/games/index-games-compatibility.aspx,200,OK,Tarot Index Pages - Thread Group 1-2,text,true,,21,21,https://dev.horoscope.com/us/games/index-games-compatibility.aspx,156,0
1676067245498,947,/us/tarot/index-tarot-reading-forecast.aspx,200,OK,Tarot Index Pages - Thread Group 1-6,text,true,,21,21,https://dev.horoscope.com/us/tarot/index-tarot-reading-forecast.aspx,169,0
1676067245934,584,/images-US/tarot/back/gems-oracle-love.png,200,OK,Tarot Index Pages - Thread Group 1-15,bin,true,,21,21,https://dev.horoscope.com/images-US/tarot/back/gems-oracle-love.png,154,0
1676067245383,1194,/birthday-horoscope.aspx,200,OK,Tarot Index Pages - Thread Group 1-13,text,true,,21,21,https://dev.horoscope.com/birthday-horoscope.aspx,156,0
1676067245639,940,/tarot/tarot-card-meaning/the-hanged-man,200,OK,Tarot Index Pages - Thread Group 1-10,text,true,,21,21,https://dev.horoscope.com/tarot/tarot-card-meaning/the-hanged-man,160,1
1676067245444,1181,/zodiac-signs/sagittarius,200,OK,Tarot Index Pages - Thread Group 1-18,text,true,,21,21,https://dev.horoscope.com/zodiac-signs/sagittarius,157,0
1676067246049,584,/images-US/tarot/back/weekly-monday.png,200,OK,Tarot Index Pages - Thread Group 1-16,bin,true,,21,21,https://dev.horoscope.com/images-US/tarot/back/weekly-monday.png,177,0
1676067245720,923,/us/tarot/tarot-past-lives.aspx,200,OK,Tarot Index Pages - Thread Group 1-1,text,true,,21,21,https://dev.horoscope.com/us/tarot/tarot-past-lives.aspx,157,0
1676067245824,920,/zodiac-signs/aquarius,200,OK,Tarot Index Pages - Thread Group 1-4,text,true,,22,22,https://dev.horoscope.com/zodiac-signs/aquarius,157,1
1676067246173,575,/images-US/tarot/back/lovers-triangle-lover1.png,200,OK,Tarot Index Pages - Thread Group 1-5,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/lovers-triangle-lover1.png,159,0
1676067246187,583,/images-US/tarot/back/yinyang-yin.png,200,OK,Tarot Index Pages - Thread Group 1-21,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/yinyang-yin.png,159,0
1676067245707,1077,/us/feedback.aspx,200,OK,Tarot Index Pages - Thread Group 1-20,text,true,,22,22,https://dev.horoscope.com/us/feedback.aspx,165,10
1676067246168,617,/images-US/upsell/true-love-tarot-reading.jpg,200,OK,Tarot Index Pages - Thread Group 1-19,bin,true,,22,22,https://dev.horoscope.com/images-US/upsell/true-love-tarot-reading.jpg,182,1
1676067246199,586,/images-US/tarot/back/weekly-saturday.png,200,OK,Tarot Index Pages - Thread Group 1-17,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/weekly-saturday.png,172,0
1676067246218,567,/images-US/tarot/back/today.png,200,OK,Tarot Index Pages - Thread Group 1-14,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/today.png,158,1
1676067246050,735,/images-US/tarot/back/monthly-wellness.png,200,OK,Tarot Index Pages - Thread Group 1-7,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/monthly-wellness.png,178,1
1676067246168,650,/images-US/tarot/back/tomorrow.png,200,OK,Tarot Index Pages - Thread Group 1-9,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/tomorrow.png,157,1
1676067246330,564,/images-US/tarot/back/breakup-cause.png,200,OK,Tarot Index Pages - Thread Group 1-12,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/breakup-cause.png,155,1
